ID;BJD;RV;e_RV
HD 3167    ;2457624.79298;     6.75; 1.48
HD 3167    ;2457626.00258;    -0.14; 1.37
HD 3167    ;2457626.77543;    -1.51; 1.52
HD 3167    ;2457626.79642;    -3.45; 1.97
HD 3167    ;2457627.80835;     2.75; 1.39
HD 3167    ;2457628.80391;     1.06; 1.36
HD 3167    ;2457629.78560;     0.51; 1.80
HD 3167    ;2457630.01505;     0.97; 1.68
HD 3167    ;2457630.74903;     5.61; 2.19
HD 3167    ;2457632.00564;     6.18; 1.82
HD 3167    ;2457632.78213;     9.33; 1.65
HD 3167    ;2457633.77119;     1.03; 1.39
HD 3167    ;2457634.74700;     3.22; 1.45
HD 3167    ;2457634.77726;    -1.38; 1.20
HD 3167    ;2457634.80265;    -2.51; 1.06
HD 3167    ;2457635.77503;    -3.91; 1.74
HD 3167    ;2457635.99181;    -2.18; 1.54
HD 3167    ;2457636.75881;    -6.32; 1.41
HD 3167    ;2457637.77314;    -1.11; 1.38
HD 3167    ;2457638.00756;    -1.94; 1.47
HD 3167    ;2457641.74706;     7.03; 1.56
HD 3167    ;2457642.00064;    -4.78; 1.46
HD 3167    ;2457642.79124;     0.96; 1.30
HD 3167    ;2457642.81118;     4.57; 1.71
HD 3167    ;2457643.77438;     4.86; 1.30
HD 3167    ;2457646.71597;    -3.83; 1.59
HD 3167    ;2457646.74635;    -2.70; 1.30
HD 3167    ;2457646.77429;   -12.67; 1.16
HD 3167    ;2457646.80352;    -6.89; 1.14
HD 3167    ;2457646.95778;    -6.96; 1.00
HD 3167    ;2457647.73967;    -8.14; 1.35
HD 3167    ;2457647.99641;    -8.76; 1.52
HD 3167    ;2457650.98718;    -1.00; 1.32
HD 3167    ;2457651.01009;     5.78; 1.88
HD 3167    ;2457651.44186; 19533.11; 0.79
HD 3167    ;2457651.54000; 19532.97; 0.76
HD 3167    ;2457651.81578;     2.99; 0.63
HD 3167    ;2457652.09704;     6.36; 0.63
HD 3167    ;2457652.44117; 19533.04; 0.75
HD 3167    ;2457652.54241; 19528.57; 0.80
HD 3167    ;2457652.81617;     2.01; 0.66
HD 3167    ;2457653.10038;     5.51; 0.65
HD 3167    ;2457653.44534; 19531.51; 0.92
HD 3167    ;2457653.54182; 19526.65; 0.78
HD 3167    ;2457653.85211;     2.69; 0.61
HD 3167    ;2457654.07139;     5.15; 0.65
HD 3167    ;2457654.44551; 19528.41; 0.94
HD 3167    ;2457654.54496; 19525.00; 0.84
HD 3167    ;2457655.54012; 19526.49; 0.96
HD 3167    ;2457655.68944; 19524.18; 1.05
HD 3167    ;2457656.57969; 19524.07; 1.42
HD 3167    ;2457657.58199; 19525.27; 1.44
HD 3167    ;2457657.68197; 19527.79; 1.51
HD 3167    ;2457658.59894; 19527.16; 0.95
HD 3167    ;2457658.70261; 19528.90; 1.09
HD 3167    ;2457659.58668; 19528.24; 0.72
HD 3167    ;2457659.68761; 19529.16; 0.80
HD 3167    ;2457661.57299; 19529.12; 0.74
HD 3167    ;2457661.68705; 19529.80; 0.70
HD 3167    ;2457668.67766;     3.68; 1.28
HD 3167    ;2457668.77118;     0.73; 0.68
HD 3167    ;2457668.96727;    -8.78; 1.51
HD 3167    ;2457669.06331;    -9.72; 0.68
HD 3167    ;2457669.44047; 19526.64; 0.84
HD 3167    ;2457669.59489; 19529.94; 1.04
HD 3167    ;2457669.69150;     3.35; 1.69
HD 3167    ;2457669.97075;    -7.56; 1.29
HD 3167    ;2457670.43866; 19529.90; 1.11
HD 3167    ;2457670.52621; 19531.32; 0.70
HD 3167    ;2457670.66625;    -5.28; 1.22
HD 3167    ;2457671.43393; 19526.20; 0.74
HD 3167    ;2457671.52091; 19528.05; 0.75
HD 3167    ;2457671.76292;    -5.71; 0.87
HD 3167    ;2457672.05023;   -10.91; 0.68
HD 3167    ;2457672.43746; 19527.79; 0.71
HD 3167    ;2457672.52313; 19527.20; 0.64
HD 3167    ;2457672.64855;    -5.37; 0.87
HD 3167    ;2457672.67660;    -2.79; 0.83
HD 3167    ;2457672.70735;    -4.71; 0.86
HD 3167    ;2457672.73512;    -7.29; 0.85
HD 3167    ;2457672.75408;    -6.24; 2.10
HD 3167    ;2457672.76439;    -9.82; 0.67
HD 3167    ;2457672.78961;    -8.32; 0.93
HD 3167    ;2457672.81665;    -8.13; 1.10
HD 3167    ;2457672.94859;   -11.36; 0.70
HD 3167    ;2457672.98426;   -10.41; 1.09
HD 3167    ;2457673.00501;    -4.48; 1.71
HD 3167    ;2457673.40581; 19529.53; 0.81
HD 3167    ;2457673.45818; 19529.69; 0.82
HD 3167    ;2457673.49691; 19529.31; 0.82
HD 3167    ;2457673.53968; 19528.63; 0.82
HD 3167    ;2457673.58196; 19527.16; 0.79
HD 3167    ;2457673.62513; 19524.58; 0.78
HD 3167    ;2457674.65980;    -5.07; 1.77
HD 3167    ;2457674.84878;    -0.60; 1.23
HD 3167    ;2457679.77198;    -1.32; 0.78
HD 3167    ;2457679.94484;    -0.89; 2.47
HD 3167    ;2457680.65750;    -8.24; 1.46
HD 3167    ;2457682.62517;    -2.12; 1.27
HD 3167    ;2457682.93578;     2.47; 1.29
HD 3167    ;2457683.68776;     0.58; 0.89
HD 3167    ;2457683.70953;     0.31; 1.18
HD 3167    ;2457684.66640;     6.23; 1.84
HD 3167    ;2457687.61556;    -0.56; 1.31
HD 3167    ;2457687.91622;     0.22; 1.41
HD 3167    ;2457688.60620;     3.25; 1.04
HD 3167    ;2457688.62748;     0.45; 1.39
HD 3167    ;2457696.73214;    -2.01; 1.17
HD 3167    ;2457697.59281;     2.48; 1.26
HD 3167    ;2457697.94950;    -3.17; 0.67
HD 3167    ;2457698.01226;    -1.20; 0.67
HD 3167    ;2457698.75569;   -14.91; 1.95
HD 3167    ;2457699.39204; 19529.21; 0.75
HD 3167    ;2457699.43499; 19529.54; 0.77
HD 3167    ;2457699.47374; 19528.29; 0.82
HD 3167    ;2457699.50962; 19529.94; 0.81
HD 3167    ;2457699.55034; 19527.69; 0.82
HD 3167    ;2457700.53325; 19528.36; 1.02
HD 3167    ;2457700.59138; 19528.45; 1.27
HD 3167    ;2457701.32627; 19530.24; 1.10
HD 3167    ;2457701.46409; 19528.02; 2.41
HD 3167    ;2457701.54008; 19528.04; 2.27
HD 3167    ;2457701.61922; 19532.07; 2.13
HD 3167    ;2457702.32353; 19530.52; 1.27
HD 3167    ;2457702.46091; 19527.06; 1.33
HD 3167    ;2457702.51967; 19528.84; 1.22
HD 3167    ;2457702.59210; 19524.50; 1.39
HD 3167    ;2457702.70982;    -3.61; 1.13
HD 3167    ;2457703.31971; 19530.44; 1.48
HD 3167    ;2457703.46765; 19528.34; 1.17
HD 3167    ;2457703.53504; 19526.94; 0.91
HD 3167    ;2457703.57527; 19527.28; 0.93
HD 3167    ;2457705.47480; 19522.61; 2.73
HD 3167    ;2457705.54786; 19524.17; 1.58
HD 3167    ;2457705.70845;    -7.31; 1.16
HD 3167    ;2457706.33156; 19523.31; 1.15
HD 3167    ;2457706.65207;    -4.76; 1.93
HD 3167    ;2457707.67569;    -3.10; 1.09
HD 3167    ;2457711.67859;     8.68; 1.03
HD 3167    ;2457711.78086;     6.43; 0.68
HD 3167    ;2457711.85654;     7.02; 0.69
HD 3167    ;2457712.77351;     8.78; 0.79
HD 3167    ;2457713.79101;     7.61; 0.64
HD 3167    ;2457713.96046;     1.47; 0.67
HD 3167    ;2457714.79977;     7.16; 0.67
HD 3167    ;2457715.69505;     8.09; 0.67
HD 3167    ;2457716.81420;     5.80; 1.84
HD 3167    ;2457716.91880;     1.49; 0.76
HD 3167    ;2457717.61511;    13.10; 1.42
HD 3167    ;2457717.78855;     5.99; 0.98
HD 3167    ;2457721.38894; 19533.68; 0.71
HD 3167    ;2457721.46595; 19534.21; 0.76
HD 3167    ;2457722.61177;    -2.65; 1.31
HD 3167    ;2457724.58744;     0.85; 1.53
HD 3167    ;2457727.36734; 19530.38; 0.76
HD 3167    ;2457727.41394; 19530.19; 0.69
HD 3167    ;2457727.48402; 19529.43; 0.69
HD 3167    ;2457728.31322; 19529.26; 0.78
HD 3167    ;2457728.38807; 19525.71; 0.87
HD 3167    ;2457728.44577; 19526.51; 0.84
HD 3167    ;2457728.48330; 19525.14; 0.89
K2-3       ;2457045.79578; 30475.70; 2.40
K2-3       ;2457045.81698; 30475.20; 2.30
K2-3       ;2457046.78545; 30476.20; 2.30
K2-3       ;2457046.86523; 30480.80; 2.30
K2-3       ;2457047.76153; 30478.40; 2.90
K2-3       ;2457047.88154; 30476.70; 2.30
K2-3       ;2457048.78774; 30484.50; 3.20
K2-3       ;2457048.88489; 30476.60; 2.60
K2-3       ;2457049.78645; 30480.00; 3.30
K2-3       ;2457049.88177; 30477.50; 2.40
K2-3       ;2457050.80633; 30484.30; 2.60
