Name,MPC,a,e,i,Omega,omega,lambda,beta,Dist,Epoch
1997QH4,J97Q04H,4.2696e+01,8.3115e-02,2.3014e-01,6.2086e+00,1.2791e+00,0.338,0.094,40.229,2456928.0
1997RY6,J97R06Y,4.0671e+01,6.4803e-02,2.1900e-01,5.5652e+00,5.0582e+00,-0.049,0.142,41.421,2450750.6
1997RX9,J97R09X,4.1573e+01,5.4585e-02,5.2349e-01,2.8606e+00,1.2483e+00,-0.211,-0.033,42.324,2451764.9
1998FS144,J98FE4S,4.1766e+01,2.1502e-02,1.7219e-01,3.9949e+00,3.5364e+00,-3.009,-0.118,42.134,2456363.9
1998HL151,J98HF1L,4.0749e+01,8.9803e-02,4.8881e-01,2.8519e-01,2.2955e+00,-2.791,-0.044,38.385,2452049.9
1998HN151,J98HF1N,3.7961e+01,5.2490e-02,4.3588e-01,6.5115e-01,5.3440e+00,-2.701,0.104,39.444,2457105.0
1998HO151,J98HF1O,4.1376e+01,9.2607e-02,2.9199e-01,2.1545e+00,3.9459e+00,-2.735,0.293,44.449,2457098.0
1998KY61,J98K61Y,4.4329e+01,4.6580e-02,3.5849e-02,2.1453e+00,6.2412e+00,-0.637,-0.012,46.237,2457121.9
1998KS65,J98K65S,4.3761e+01,3.3879e-02,2.0647e-02,1.7915e+00,3.4337e+00,-0.899,-0.009,42.291,2452051.1
1998WG24,J98W24G,4.5573e+01,1.2686e-01,3.8851e-02,1.5418e+00,6.1600e-01,1.722,0.006,40.254,2456603.0
1998WV24,J98W24V,3.8963e+01,3.8426e-02,2.6494e-02,3.2064e+00,2.7609e+00,1.020,-0.022,38.581,2454822.9
1998WY24,J98W24Y,4.3190e+01,3.9892e-02,3.3353e-02,1.7911e+00,2.4449e-01,1.629,-0.005,41.597,2455919.9
1998WW31,J98W31W,4.4651e+01,8.6500e-02,1.1867e-01,4.1381e+00,9.0319e-01,1.162,-0.021,47.379,2455919.8
1998WY31,J98W31Y,4.5196e+01,1.1790e-01,3.4505e-02,1.1110e+00,1.8788e+00,1.608,0.017,43.509,2457071.7
1998XY95,J98X95Y,6.4193e+01,4.1927e-01,1.1633e-01,8.2655e-01,1.5635e+00,1.851,0.102,38.746,2457460.7
1999CY118,J99CB8Y,9.0124e+01,6.1594e-01,4.4653e-01,2.8472e+00,2.6220e-01,-2.808,0.276,35.700,2457461.0
1999CZ118,J99CB8Z,1.1705e+02,6.7965e-01,4.8449e-01,6.0246e+00,4.1294e+00,-2.978,-0.214,39.661,2457460.8
1999CB119,J99CB9B,4.6908e+01,1.2879e-01,1.5265e-01,2.9341e+00,6.1132e+00,-2.937,0.059,41.606,2457423.0
1999CC119,J99CB9C,4.4767e+01,7.4436e-02,7.9238e-03,3.3240e+00,1.1451e+00,-3.053,-0.001,43.481,2456363.9
1999CF119,J99CB9F,8.8795e+01,5.6406e-01,3.4407e-01,5.2962e+00,3.4898e+00,2.188,-0.013,39.394,2451935.9
1999CH119,J99CB9H,4.3300e+01,8.3242e-02,3.4830e-01,2.1355e+00,2.9956e+00,2.395,0.099,46.512,2456363.8
1999CJ119,J99CB9J,4.5328e+01,6.6473e-02,5.5955e-02,5.4691e+00,3.2656e+00,2.518,-0.011,42.323,2456365.8
1999CL119,J99CB9L,4.6873e+01,6.7870e-03,4.0654e-01,2.1845e+00,1.1746e+00,2.436,0.104,46.678,2455570.0
1999CM119,J99CB9M,4.3974e+01,9.5547e-02,4.8032e-02,2.0686e+00,5.2352e+00,2.403,0.015,42.719,2453678.0
1999CN119,J99CB9N,4.3734e+01,4.0521e-02,1.7453e-02,6.0585e+00,4.6451e+00,2.555,0.006,44.165,2456364.6
1999CW131,J99CD1W,4.3649e+01,9.9023e-02,1.3828e-01,3.0478e+00,1.6942e+00,3.054,0.002,43.686,2451642.0
1999CQ133,J99CD3Q,4.1298e+01,9.5882e-02,2.3173e-01,2.1519e+00,2.3947e+00,2.407,0.064,43.071,2456365.8
1999CM153,J99CF3M,4.5688e+01,1.3933e-01,3.4557e-03,1.6037e+00,4.4907e-02,2.957,0.003,43.271,2457104.8
1999CP153,J99CF3P,4.4179e+01,7.5212e-02,5.2831e-02,2.1435e+00,3.2060e+00,2.220,0.005,47.500,2451641.9
1999CS153,J99CF3S,4.3835e+01,3.5762e-02,1.7191e-02,5.9914e+00,1.3592e+00,2.186,0.010,43.133,2451641.8
1999CU153,J99CF3U,4.4180e+01,6.5080e-02,4.7089e-02,2.4308e+00,5.1626e+00,2.586,0.008,43.202,2456365.9
1999CG154,J99CF4G,4.3047e+01,9.2428e-02,1.3561e-02,1.7563e+00,2.9903e+00,2.353,0.008,45.742,2453439.7
1999CH154,J99CF4H,4.3014e+01,1.1836e-02,1.4626e-02,2.8776e+00,4.2183e+00,2.635,-0.003,43.140,2457097.7
1999CK158,J99CF8K,4.0815e+01,7.2504e-02,2.9824e-01,2.2293e+00,5.4698e+00,2.571,0.108,39.513,2456364.6
1999DA0,J99D00A,4.3273e+01,7.1480e-02,4.8712e-02,9.4263e-01,4.4174e+00,2.740,0.048,45.865,2457136.8
1999DH8,J99D08H,4.4109e+01,7.3985e-02,7.9029e-02,1.8345e+00,1.7723e+00,2.480,0.049,42.495,2451964.7
1999GS46,J99G46S,4.4554e+01,8.4231e-02,9.0425e-02,4.2497e-01,1.6794e+00,-2.557,-0.016,44.476,2453882.7
1999HS11,J99H11S,4.4110e+01,1.9375e-02,4.5379e-02,1.8441e+00,2.9278e+00,-2.382,0.041,43.553,2456772.9
1999HV11,J99H11V,4.2931e+01,2.6181e-02,5.5100e-02,2.8083e+00,4.8293e+00,-2.410,0.049,43.837,2456426.9
1999HH12,J99H12H,4.3553e+01,2.0129e-02,2.2707e-02,4.4640e+00,1.3669e+00,-2.361,-0.012,43.822,2457164.8
1999HJ12,J99H12J,4.3062e+01,4.8812e-02,7.9290e-02,2.1384e+00,3.8791e+00,-2.093,0.072,43.528,2457127.9
1999JD132,J99JD2D,4.3304e+01,6.5538e-02,1.8300e-01,5.4006e-01,1.7945e+00,-2.419,-0.034,43.005,2453852.7
1999OZ3,J99O03Z,4.3968e+01,8.0224e-02,4.4576e-02,2.4046e+00,4.8458e+00,-0.389,-0.014,43.029,2457170.8
1999OA4,J99O04A,4.4338e+01,6.5785e-02,5.4559e-02,2.3904e+00,9.9351e-01,-0.704,-0.003,45.932,2452520.8
1999OD4,J99O04D,4.1416e+01,9.4279e-02,2.5131e-01,5.2622e+00,2.5702e+00,-0.707,0.085,43.554,2456572.7
1999OG4,J99O04G,4.6994e+01,1.3349e-01,2.4801e-02,1.9429e+00,1.7838e+00,-0.761,-0.011,47.544,2452118.1
1999OH4,J99O04H,4.0462e+01,4.0028e-02,4.9192e-01,2.1674e+00,2.7567e+00,-0.950,-0.019,38.975,2452146.8
1999OJ4,J99O04J,3.8031e+01,2.5135e-02,6.9813e-02,2.2253e+00,5.0979e+00,-0.561,-0.026,38.017,2454740.7
1999OK4,J99O04K,4.3245e+01,1.5821e-01,5.2337e-01,2.1359e+00,1.1473e+00,-0.917,-0.047,45.736,2452830.0
1999RV214,J99RL4V,4.7383e+01,3.3992e-02,1.9373e-02,2.5257e+00,9.7829e-01,-0.343,-0.005,47.101,2457170.9
1999RW214,J99RL4W,4.2911e+01,3.2782e-02,2.3771e-02,6.0388e-03,4.7049e+00,0.327,0.008,43.336,2456602.8
1999RX214,J99RL4X,4.6111e+01,1.7212e-01,8.4107e-02,6.6096e-02,4.6389e+00,0.372,0.026,47.777,2456571.9
1999RY214,J99RL4Y,4.5133e+01,1.7854e-01,2.3894e-01,5.7130e+00,1.2325e+00,0.412,0.196,37.271,2454293.9
1999RC215,J99RL5C,4.4062e+01,5.7823e-02,2.4539e-02,3.2994e+00,4.4750e+00,0.435,-0.007,42.684,2456602.8
1999RG215,J99RL5G,4.6433e+01,7.0954e-02,4.2411e-03,5.1048e+00,1.9775e+00,-0.259,0.003,44.676,2453591.6
1999RR215,J99RL5R,4.4097e+01,1.0114e-01,2.0630e-02,3.2447e+00,2.5758e+00,0.213,-0.003,40.512,2451906.8
1999RV215,J99RL5V,4.4611e+01,1.8275e-01,3.8392e-01,6.1407e+00,4.5660e-01,0.729,0.306,37.017,2456952.9
1999RX215,J99RL5X,4.6931e+01,1.4146e-01,1.5568e-02,1.7325e+00,3.2506e+00,-0.299,-0.014,42.808,2456952.8
1999XY143,J99XE3Y,4.2997e+01,8.1192e-02,1.2507e-01,4.4582e+00,1.3923e+00,1.701,-0.046,44.601,2457335.0
2000CL104,K00CA4L,4.4407e+01,7.6624e-02,2.1712e-02,2.4590e+00,5.3781e+00,2.989,0.011,43.696,2457460.8
2000CP104,K00CA4P,4.4251e+01,1.0010e-01,1.6554e-01,2.2796e+00,2.5907e+00,2.848,0.092,45.763,2456364.7
2000CE105,K00CA5E,4.3857e+01,5.6197e-02,9.5819e-03,1.3399e+00,4.7665e-01,2.183,0.007,41.554,2456364.6
2000CF105,K00CA5F,4.3842e+01,3.6212e-02,9.2153e-03,9.9252e-01,9.7587e-01,2.400,0.009,42.398,2456363.8
2000CG105,K00CA5G,4.6329e+01,4.2575e-02,4.8857e-01,5.4815e+00,1.4613e+00,2.552,-0.119,46.948,2456363.8
2000CJ105,K00CA5J,4.4160e+01,1.0735e-01,2.0235e-01,2.6913e+00,3.9732e+00,2.955,0.053,47.986,2454147.0
2000CL105,K00CA5L,4.3013e+01,4.6835e-02,7.2885e-02,1.9838e+00,3.4887e+00,2.603,0.044,44.938,2456365.9
2000CO105,K00CA5O,4.7046e+01,1.4726e-01,3.3634e-01,5.3627e+00,9.6976e-01,2.295,-0.031,50.806,2456364.7
2000CN114,K00CB4N,4.3912e+01,4.2388e-02,2.7088e-02,1.4396e+00,5.5304e+00,2.677,0.026,44.617,2456364.7
2000CQ114,K00CB4Q,4.6081e+01,1.1325e-01,4.6967e-02,6.7015e-01,5.5414e-01,3.016,0.034,46.665,2457104.8
2000FC8,K00F08C,4.3948e+01,6.4003e-02,1.2479e-02,5.8062e+00,5.0580e-01,-2.766,-0.010,46.566,2457136.9
2000FF8,K00F08F,4.5104e+01,9.7765e-02,7.7842e-02,3.1126e+00,1.9518e+00,-2.791,0.030,44.619,2456426.8
2000FG8,K00F08G,4.3914e+01,6.8563e-02,1.9862e-02,2.7867e+00,2.1621e+00,-2.705,0.014,43.146,2457105.0
2000FH8,K00F08H,4.3497e+01,3.3052e-02,3.6216e-02,1.5404e-01,3.8366e-01,-2.729,-0.010,44.923,2457136.9
2000FS53,K00F53S,4.3052e+01,3.5531e-02,3.6477e-02,4.5436e-01,2.2617e+00,-2.323,-0.013,42.507,2457136.9
2000FT53,K00F53T,4.5125e+01,1.5425e-01,2.0926e-01,6.1643e-01,4.2707e+00,-2.170,-0.076,39.634,2457166.7
2000GV146,K00GE6V,4.4043e+01,6.8378e-02,6.4141e-02,1.7436e+00,1.1106e+00,-2.365,0.053,42.461,2457185.8
2000GX146,K00GE6X,4.4094e+01,1.3699e-02,1.1886e-02,6.0214e+00,5.5946e-01,-2.657,-0.008,44.688,2457104.9
2000GY146,K00GE6Y,4.3964e+01,2.1079e-02,4.7141e-02,2.3551e-01,1.6045e-01,-2.656,-0.011,44.888,2457104.9
2000JF81,K00J81F,4.6127e+01,1.0161e-01,3.0404e-02,3.1387e+00,2.2441e+00,-2.090,0.027,43.974,2456807.9
2000KK4,K00K04K,4.1259e+01,8.3451e-02,3.3383e-01,2.5486e+00,5.2925e+00,-1.921,0.332,44.446,2454232.9
2000KL4,K00K04L,3.8593e+01,6.1944e-02,3.7186e-01,2.5826e+00,4.0047e+00,-1.842,0.367,39.853,2454590.9
2000OB51,K00O51B,3.7834e+01,3.5206e-02,7.7807e-02,2.2140e+00,3.6002e+00,-0.661,-0.021,36.524,2453236.9
2000OH67,K00O67H,4.4165e+01,1.8983e-02,9.8245e-02,1.3586e+00,3.4719e+00,-0.663,-0.091,43.570,2452877.6
2000ON67,K00O67N,4.2985e+01,2.9981e-02,5.4751e-02,1.0115e+00,1.9231e+00,-0.234,-0.053,44.273,2455120.7
2000OU69,K00O69U,4.3168e+01,4.8398e-02,7.7144e-02,1.3484e+00,4.0323e+00,-0.729,-0.067,41.100,2456452.9
2000PU29,K00P29U,4.2442e+01,1.8271e-02,1.2357e-02,3.9660e+00,2.0678e+00,-0.959,0.012,41.845,2452133.9
2000PW29,K00P29W,4.4179e+01,5.9761e-02,3.0700e-02,2.5828e+00,1.5154e+00,-0.944,0.011,43.229,2452172.7
