BJD,RV,ERV
2455749.83694,-1.78,0.98
2455750.82008,-0.36,0.95
2455750.82108,-1.89,1.03
2455750.82227,-0.22,0.95
2455750.8233,-2.99,0.96
2455762.74751,-4.79,1.1
2455762.74811,-3.52,1.15
2455762.74874,-9.22,0.92
2455905.17381,2.97,1.03
2455993.04694,-1.11,1.18
2455993.04797,0.93,1.26
2455993.04911,0.38,1.17
2456328.13366,-1.87,3.41
2456328.13425,-0.14,3.57
2456328.13484,-2.61,3.14
2456637.17431,-1.36,1.14
2456637.17488,4.77,1.18
2456637.17549,0.62,1.22
2456675.18362,-8.9,3.29
2456675.1842,-7.72,3.46
2456675.1848,-9.08,3.65
2456709.10696,-2.27,3.15
2456709.10757,3.87,3.4
2456709.10814,1.37,3.54
2456828.76719,-6.63,1.08
2456828.76777,-7.22,1.06
2456828.76836,-5.3,1.1
2456829.73706,-0.64,1.05
2456829.73764,3.8,1.06
2456829.73824,2.26,1.08
2449770.06,12.21,4.5
2449770.06543,16.22,2.56
2449770.07031,15.46,2.4
2449770.07617,10.45,2.6
2449793.91992,-1.02,2.27
2449793.92773,-2.08,1.94
2449881.72949,10.72,2.98
2449881.73731,0.4,2.11
2449881.74609,3.35,1.92
2449881.75781,9.82,2.22
2450180.75586,6.24,2.02
2450201.76953,6.15,2.75
2450201.79199,7.43,2.71
2450502.96387,11.17,2.41
2450613.6875,11.06,2.46
2450794.05176,16.92,3.48
2450979.75879,6.99,3.23
2451005.70215,-2.73,3.44
2451206.97168,15.02,2.51
2451303.81543,13.64,2.59
2451305.75781,11.47,2.72
2451533.08887,6.66,2.78
2451543.08301,0.92,2.97
2451544.09473,2.54,3.82
2451547.08789,-6.06,4.41
2451572.03906,2.26,4.01
2451627.87793,12.83,2.91
2451652.84375,-6.72,5.13
2451653.81543,-7.0,3.22
2451654.81934,-4.43,3.93
2451655.84375,18.29,7.1
2451656.78711,-6.63,4.87
2451682.76269,-12.59,4.95
2451683.76856,21.69,3.9
2451684.79394,-0.29,3.96
2451685.81445,8.05,3.44
2451706.7334,23.59,3.72
2451896.10059,3.08,3.05
2451897.08301,-0.02,2.35
2451900.03027,7.81,3.1
2451902.07519,8.55,3.28
2451930.03613,5.81,4.06
2451932.01172,5.23,2.8
