BJD,RV,ERV
2452409.7121,-98.07,2.1
2452410.70428,-69.33,1.59
2452419.71506,-61.59,1.6
2452420.71259,-88.3,1.38
2452421.71169,-117.69,1.43
2452422.72106,-109.2,1.77
2452426.73142,-50.9,1.31
2452427.69703,-14.05,1.9
2452428.70336,4.31,1.22
2452429.70827,5.89,1.3
2452553.02973,-90.25,1.57
2452554.0277,-99.34,1.5
2452554.99206,-106.99,1.62
2452565.01999,-26.74,1.61
2452567.04981,-85.88,2.53
2452575.04492,7.39,2.23
2452576.04315,24.22,1.53
2452576.98474,18.5,1.63
2452585.01747,-96.21,1.28
2452595.01118,-49.16,1.09
2452598.99109,-95.26,1.04
2452600.96715,-52.47,0.84
2452606.98584,21.99,0.98
2452608.96373,-33.49,1.18
2452631.93493,-5.25,1.5
2452656.94906,-121.27,1.19
2452705.75516,-13.82,1.13
2452722.74956,33.96,1.42
2452723.75683,25.92,1.41
2452737.69963,31.28,1.17
2452990.98926,-70.98,1.75
2452992.01973,-73.95,1.41
2453008.97305,-118.28,1.24
2453009.82291,-109.37,1.3
2453014.91699,30.19,1.47
2453018.88184,-26.61,2.31
2453020.90625,-84.95,3.05
2453021.88885,-108.76,2.56
2453034.84961,-35.65,1.95
2453068.80437,-73.35,1.53
2453069.74609,-63.17,2.22
2453079.73859,-56.42,1.61
2453081.73731,-93.24,2.4
2453100.70337,-15.8,1.79
2453101.6739,2.86,1.43
2453102.72334,21.28,1.1
2453108.70748,-78.21,1.26
2453119.68654,43.98,3.25
2453282.03418,-22.88,1.62
2453283.02688,-32.39,1.05
2453337.93066,49.47,2.33
2453338.97882,50.47,1.33
2453362.93359,-44.07,2.01
2453363.90318,-13.14,2.01
2453383.88228,39.12,1.98
2453384.88244,18.62,1.87
2453385.86724,-24.24,1.78
2453386.84468,-38.51,1.27
2453387.87126,-61.24,2.08
2453388.83796,-85.53,1.86
2453389.81824,-76.91,1.48
2453390.91379,-77.73,1.97
2453391.95825,-41.56,1.92
2453392.78225,-13.17,1.9
2453402.88127,-72.03,2.15
2453403.89456,-74.95,2.02
2453404.86772,-80.79,1.64
2453405.87794,-74.33,1.7
2453436.73642,-11.71,2.04
2453437.78982,18.98,1.87
2453438.73703,37.01,1.87
2453439.74637,62.57,1.79
2453440.7431,72.6,1.9
2453441.82095,52.89,1.48
2453460.69637,-70.48,1.63
2453475.6786,-63.14,1.83
2453476.68059,-71.56,1.63
2453477.68219,-73.44,1.69
2453478.68579,-73.49,1.65
2453479.67637,-41.16,2.3
2453516.69655,3.37,1.87
2453669.06331,-64.4,1.78
2453744.93382,4.38,1.24
2453752.9071,-16.56,1.17
2453755.87845,-63.18,2.29
2453756.84973,-57.34,2.25
2453773.7296,-28.18,2.1
2453773.81957,-27.51,2.25
2453773.96883,-36.95,1.93
2453774.80103,-2.59,2.01
2454050.02388,-49.6,1.1
2454072.02159,78.37,1.0
2454073.01428,46.38,1.3
2454073.95856,30.71,1.33
2454098.95179,93.69,1.32
2454100.01728,103.85,1.35
2454101.97919,87.53,1.36
2454102.84959,76.93,2.25
2454103.00129,62.36,1.97
2454103.8473,31.06,1.94
2454103.93224,23.74,2.03
2454133.84118,-6.0,2.21
2454134.81738,-43.96,1.02
2454135.75896,-45.21,1.27
2454165.7782,-71.66,1.04
2454166.70646,-44.76,3.81
2454167.67803,-30.1,1.41
2454168.80657,-13.38,1.49
2454169.84412,26.19,1.37
2454196.73046,-42.81,1.22
2454216.7786,95.05,1.79
2454219.74126,53.3,1.13
2454220.75738,33.46,1.17
2454426.06351,46.94,1.34
2454427.05271,0.57,0.8
2454428.0301,-29.0,0.79
2454429.04614,-35.6,0.79
2454449.90228,92.29,0.96
2454449.97921,95.1,1.21
2454457.97956,-0.68,1.2
2454517.7817,-42.71,1.15
2454547.8393,-20.61,1.08
2454574.71092,-31.13,0.78
2454578.74687,5.63,0.98
2454598.70674,131.69,1.85
2454725.03198,18.83,2.32
2454726.02537,44.52,1.23
2454783.98942,2.14,2.1
2454784.98892,37.91,2.09
2454844.90482,75.6,1.19
2454846.02038,113.4,0.89
2454846.95168,116.23,0.93
2454847.89244,111.21,1.35
2454848.88496,104.81,1.07
2454849.83585,83.72,0.93
2454863.84482,104.98,1.4
2454864.85968,72.07,1.48
2454865.86258,48.58,1.48
2455167.02476,95.45,1.64
2455167.99733,121.37,1.49
2455172.01593,95.63,1.86
2455228.79089,112.83,1.49
2455312.67241,48.25,0.95
2455546.93183,10.65,1.02
2455554.96177,-4.28,1.27
2455576.88561,51.49,1.3
2455577.86121,72.47,1.02
2455578.76532,97.72,1.88
2455578.86419,102.93,1.03
2455582.8289,47.37,1.01
2455583.87264,18.17,1.06
2455584.86735,-9.75,1.15
2455585.89067,-45.72,1.83
2455602.8169,-41.41,0.96
2455603.80404,-17.95,1.09
2452219.13804,-147.87,1.1
2452236.01473,-65.34,1.21
2452243.05068,-58.78,1.17
2452307.84991,-111.75,1.33
2452333.99767,-142.98,1.49
2452334.893,-144.92,1.27
2452573.11257,-69.11,1.17
2452574.12898,-51.0,1.28
2452576.09811,-14.6,1.35
2452601.03147,-91.17,1.19
2452602.05854,-64.19,1.25
2452603.11363,-31.19,1.21
2452652.97256,-78.43,1.44
2452654.03949,-104.28,1.47
2452680.97016,-35.81,1.33
2452682.95091,-88.75,1.4
2452711.76686,-82.99,1.36
2452712.82557,-111.08,1.39
2452777.8056,-56.54,1.21
2452804.74504,-131.61,1.46
2452988.03829,-11.16,1.3
2453017.86133,-23.54,1.21
2453045.78187,17.28,1.21
2453077.04174,-24.66,1.36
2453339.0433,26.08,0.87
2453339.04446,22.35,0.84
2453339.04551,24.95,0.84
2453369.91578,-17.03,0.81
2453369.91676,-18.76,0.88
2453369.91772,-17.87,0.86
2453425.84215,20.53,0.82
2453425.84322,22.41,0.81
2453425.84426,20.66,0.85
2453480.81943,-56.78,0.76
2453480.82045,-55.89,0.73
2453480.82135,-55.01,0.74
2453546.76276,-39.98,0.97
2453546.76446,-43.32,0.95
2453546.766,-37.58,0.92
2453547.73887,-79.53,0.8
2453547.74037,-79.86,0.84
2453547.7421,-80.68,0.84
2453547.7436,-81.38,0.86
2453692.98044,-33.62,0.87
2453692.98159,-34.19,0.83
2453692.98273,-33.57,0.81
2453693.07766,-33.64,0.81
2453693.07889,-32.33,0.82
2453693.07973,-32.64,0.79
2453694.08082,-50.97,0.76
2453694.0817,-52.42,0.78
2453694.08258,-52.19,0.77
2453695.04968,-87.92,0.82
2453695.05058,-86.54,0.85
2453695.05146,-87.5,0.81
2453695.05247,-88.72,1.16
2453696.02527,-105.45,0.88
2453696.02608,-105.21,0.93
2453696.02692,-105.14,0.9
2453697.10914,-107.54,1.04
2453697.10998,-109.71,0.92
2453697.11081,-104.06,0.96
2453724.05352,-86.59,0.89
2453724.0545,-87.8,0.89
2453724.0556,-89.36,0.87
2453724.05656,-86.49,0.86
2453724.05754,-83.35,0.89
2453724.99331,-100.57,0.92
2453724.99434,-102.93,0.95
2453724.99567,-101.17,0.93
2453747.02495,34.34,0.82
2453747.02608,36.83,0.85
2453747.02723,33.18,0.89
2453747.95713,44.17,0.92
2453747.95808,43.1,0.89
2453747.95902,44.65,0.89
2453748.92209,38.31,0.86
