recno,LC,TBest,TBest2,Mbest,Mbest2,SolID,Source,Pf,e_Pf,P1O,e_P1O,P2O,e_P2O,P3O,e_P3O,EpG,e_EpG,EpBP,e_EpBP,EpRP,e_EpRP,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,AmpG,e_AmpG,AmpBP,e_AmpBP,AmpRP,e_AmpRP,[Fe/H],e_[Fe/H],R21G,e_R21G,R31G,e_R31G,phi21G,e_phi21G,phi31G,e_phi31G,o_EpG,o_EpBP,o_EpRP,RA_ICRS,DE_ICRS,_RA.icrs,_DE.icrs
549,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4756088045913150080,3.55173398,5.319E-5,nan,nan,nan,nan,nan,nan,1727.0692385,7.522E-5,1727.0692385,7.522E-5,1727.0692385,7.522E-5,15.7326,5.0E-4,nan,nan,nan,nan,0.595659,0.001494,nan,nan,nan,nan,-0.11,0.22,0.4257,0.00303,0.19536,0.00289,4.29265,0.01005,2.57425,0.01008,22,21,19,86.84307732488,-65.49249634268,86.84307732488,-65.49249634268
550,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,4756955693713203712,nan,nan,0.91467394,2.47E-6,nan,nan,nan,nan,1734.83892401,3.49E-6,1734.82630866,3.49E-6,1734.85676068,3.49E-6,16.7707,3.0E-4,16.9963,0.0036,16.3749,0.0028,0.355987,0.001309,0.392091,0.011889,0.248579,0.011535,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25,21,21,84.15156584046,-64.47856163143,84.15156584046,-64.47856163143
551,LC,DCEP,,MULTI,F/2O,369295549951641967,4757087639415312512,1.06038807,4.91E-6,nan,nan,0.67760956,4.156E-5,nan,nan,1734.13157331,5.48E-6,1734.12868873,5.48E-6,1734.160731,5.48E-6,16.6253,4.0E-4,16.8275,0.0068,16.2474,0.0046,0.468857,5.05E-4,0.539553,0.009621,0.34175,0.006447,nan,nan,0.29178,0.00378,nan,nan,4.27275,0.01421,nan,nan,27,22,23,84.24287966539,-63.89706677986,84.24287966539,-63.89706677986
552,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4757097706818374912,3.52458956,1.716E-5,nan,nan,nan,nan,nan,nan,1726.84610887,2.426E-5,1726.96201048,2.426E-5,1726.88552933,2.426E-5,15.5218,6.0E-4,15.85,0.0023,15.0783,0.0032,0.870786,0.001754,0.951323,0.010202,0.638036,0.021574,-0.13,0.22,0.43169,0.00335,0.25922,0.00294,4.36429,0.00824,2.51909,0.01076,27,24,25,84.1435316798,-63.63740371473,84.1435316798,-63.63740371473
553,LC,DCEP,,FUNDAMENTAL,,369295549951641967,4757607983288353024,2.8684929,1.268E-5,nan,nan,nan,nan,nan,nan,1728.22573164,1.793E-5,1730.94999872,1.793E-5,1730.90245305,1.793E-5,16.0291,2.0E-4,16.2503,0.0022,15.5172,0.0034,0.692807,0.001324,0.586966,0.006702,0.522751,0.035405,-0.47,0.22,0.53767,0.00315,nan,nan,4.1459,0.00453,nan,nan,27,22,24,83.76190350105,-62.33990432606,83.76190350105,-62.33990432606
554,LC,DCEP,,FUNDAMENTAL,,369295549951641967,5827881569673701632,7.17968546,1.2317E-4,nan,nan,nan,nan,nan,nan,1687.49888084,1.7418E-4,1766.37845093,1.7418E-4,1688.01812485,1.7418E-4,14.9441,1.0E-4,15.4095,0.0013,14.3091,8.0E-4,0.117567,4.55E-4,0.131512,0.004583,0.099433,0.003275,nan,nan,0.09758,0.00334,nan,nan,4.84352,0.04977,nan,nan,50,43,45,247.23883151662,-64.9197938923,247.23883151662,-64.9197938923
555,LC,DCEP,,FUNDAMENTAL,,369295549951641967,5829232354047904256,2.56720166,5.53E-6,nan,nan,nan,nan,nan,nan,1698.10646032,7.83E-6,1698.16405353,7.83E-6,1698.19955542,7.83E-6,7.7401,1.0E-4,8.1071,2.0E-4,7.2656,2.0E-4,0.449565,3.86E-4,0.540402,7.87E-4,0.335047,6.53E-4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36,35,32,241.8291704737,-62.91057244509,241.8291704737,-62.91057244509
556,LC,DCEP,,FUNDAMENTAL,,369295549951641967,1189542805253589760,6.60952487,4.181E-5,nan,nan,nan,nan,nan,nan,1698.01808784,5.912E-5,1698.17156924,5.912E-5,1698.09582393,5.912E-5,12.4729,1.0E-4,13.1199,5.0E-4,11.7183,4.0E-4,0.449311,2.92E-4,0.501331,0.001656,0.394852,0.001086,nan,nan,0.13971,8.3E-4,nan,nan,6.67803,0.00504,nan,nan,40,35,35,237.78153082504,11.27182808911,237.78153082504,11.27182808911
557,LC,DCEP,,FIRST_OVERTONE,,369295549951641967,1149625757159314688,nan,nan,2.21827453,4.217E-5,nan,nan,nan,nan,1698.06818495,5.964E-5,1695.92387011,5.964E-5,1697.96871786,5.964E-5,16.2075,2.0E-4,16.6469,0.0036,15.5939,0.0014,0.188042,0.001435,0.142906,0.016932,0.196417,0.00716,nan,nan,0.19735,0.00519,nan,nan,4.92389,0.04421,nan,nan,32,27,28,104.94073514081,83.39205725727,104.94073514081,83.39205725727
558,LC,DCEP,,FUNDAMENTAL,,369295549951641967,1151501489635509120,3.1697982,3.109E-5,nan,nan,nan,nan,nan,nan,1692.72029461,4.397E-5,1692.64431372,4.397E-5,1692.67498271,4.397E-5,16.196,3.0E-4,17.1374,0.0034,15.2222,0.0013,0.326477,0.001154,0.36326,0.010981,0.304298,0.005332,0.08,0.22,0.36753,0.00482,nan,nan,5.31837,0.01653,nan,nan,29,27,29,168.99686492421,87.40004441529,168.99686492421,87.40004441529
