HIP,RAhms,DEdms,Vmag,Plx,e_Plx,Type,Period,u_Period,distance
2355,00 30 07.34,+29 45 06.1,5.2,17.62,0.86,DSCTC,0.069304115,,56.753685
2384,00 30 26.23,+40 22 09.0,9.41,5.09,1.41,LB:,nan,,196.46365
2388,00 30 27.83,-40 56 22.7,6.18,7.77,0.72,DSCTC,0.13552,,128.70013
2408,00 30 40.73,-09 24 27.8,7.43,2.93,1.03,,nan,,341.2969
2429,00 30 58.52,+34 05 55.2,8.07,8.1,2.16,,nan,,123.45679
2462,00 31 16.50,-51 38 57.6,8.99,1.22,1.14,LB:,nan,,819.6721
2474,00 31 25.20,+66 31 10.7,6.18,4.55,0.58,VAR,1.07855,,219.78021
2486,00 31 33.48,-36 16 25.4,9.7,1.43,1.65,EA,2.277687,,699.3007
2505,00 31 46.32,+54 31 20.4,4.74,9.2,1.06,,nan,,108.695656
2510,00 31 49.75,+04 50 46.4,7.99,9.3,1.0,GDOR,0.6507,,107.52688
2517,00 31 54.88,+19 38 34.6,6.87,3.59,0.83,VAR:,nan,,278.55154
2546,00 32 22.73,+26 01 45.9,9.85,-4.26,4.43,M,313.0,,-234.74178
2548,00 32 23.75,+06 57 19.6,5.69,12.36,0.8,E:,nan,,80.90615
2550,00 32 25.21,-24 52 34.4,10.14,3.49,1.73,EB,0.566287,,286.53296
2559,00 32 31.31,+10 29 12.0,8.38,5.04,1.05,PULS,0.087,,198.4127
2560,00 32 31.92,+18 47 42.3,6.79,6.01,0.81,VAR:,nan,,166.38934
2596,00 32 58.92,+48 39 29.7,11.65,4.21,2.12,SRB,nan,,237.5297
2599,00 32 59.99,+62 55 54.4,4.17,0.79,0.52,ACYG,2.6469,,1265.8228
2607,00 33 07.34,-39 45 34.7,7.64,3.42,0.87,VAR,10.04218,,292.39764
2613,00 33 11.61,+51 40 07.0,9.29,1.71,1.34,GCAS,nan,,584.7953
2618,00 33 14.30,-10 43 42.7,9.49,2.88,1.46,LB:,96.8,,347.2222
2620,00 33 14.96,+53 58 23.8,8.47,1.86,1.11,,nan,,537.6344
2629,00 33 23.23,-71 15 58.4,6.11,6.65,0.52,DSCTC,0.049308,,150.37593
2643,00 33 29.97,+40 06 20.2,7.76,16.68,1.62,,nan,,59.952038
2644,00 33 30.39,+62 30 40.2,11.11,3.47,1.93,EB/KE,1.243527,,288.18445
2651,00 33 36.82,+39 53 03.3,8.52,3.32,1.2,SRD:,10.877,,301.20483
2655,00 33 38.30,-15 29 14.3,11.42,2.7,2.63,RRAB/BL,0.57373,,370.37036
2667,00 33 48.89,+58 12 55.3,8.71,0.79,1.1,LB:,nan,,1265.8228
2668,00 33 48.91,+43 40 00.1,7.5,2.7,1.0,VAR,0.08827,,370.37036
2685,00 34 05.36,-32 17 08.0,8.01,1.79,0.95,VAR,2.06663,,558.65924
2720,00 34 38.42,-33 05 38.4,10.19,3.9,1.68,,nan,,256.41025
2727,00 34 50.57,-21 52 55.5,9.75,2.96,1.56,,nan,,337.83783
2729,00 34 51.09,-61 54 57.7,9.56,21.78,1.01,TTS/ROT,0.377,,45.91368
2731,00 34 53.41,-68 35 48.5,8.59,5.54,0.75,EB,2.88083,,180.50542
2750,00 35 05.15,+39 10 04.7,8.46,1.83,1.54,VAR,0.96386,,546.44806
2756,00 35 11.32,+62 59 21.8,7.26,0.69,0.7,,nan,,1449.2754
2789,00 35 33.32,-54 49 18.3,6.04,12.88,0.65,,nan,,77.63975
2796,00 35 37.17,+67 55 33.5,6.92,1.12,0.62,VAR:,nan,,892.8571
2808,00 35 44.22,+49 44 10.5,8.86,-1.0,2.12,LB:,nan,,-1000.0
2813,00 35 47.65,+55 42 26.0,7.9,4.36,0.92,SPB,1.9857,,229.35779
2852,00 36 06.90,-22 50 32.0,6.06,20.12,0.91,DSCTC,nan,,49.701786
2865,00 36 20.09,+27 15 17.2,6.51,4.65,0.75,ACV,4.6904,,215.05376
2880,00 36 28.94,-30 20 01.1,8.81,2.72,1.33,LB,51.4,,367.64706
2899,00 36 45.44,+48 57 07.8,8.52,2.26,1.27,LB,nan,,442.47787
2900,00 36 46.47,+44 29 18.6,5.14,4.97,0.78,SRS,11.5,,201.20724
2903,00 36 47.31,+15 13 54.3,5.89,3.81,0.71,BCEP,0.08,,262.4672
2912,00 36 52.84,+33 43 09.7,4.34,4.97,0.82,,nan,,201.20724
2920,00 36 58.27,+53 53 49.0,3.69,5.46,0.61,,nan,,183.15018
2923,00 37 03.56,+31 29 11.3,7.64,4.53,0.84,PULS,0.149,,220.75053
