,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
4000,Kepler-1467,,,TIC 271427581,b,Kepler,1,1,Transit,2016,47.0569043,0.2388,3.3,10.9,1.67,0.0,7.92,411.0,89.98,0.1277,,,5332.0,0.82,0.86,-0.07,-0.351,4.55,4.37,2.94942,,852.888,295.0485389,45.3426781
4001,Kepler-198,,,TIC 122519154,b,Kepler,1,3,Transit,2014,17.790037,0.131,2.82,8.35,2.05,0.0,44.55,655.0,89.66,0.03,,,5574.0,0.94,0.97,0.114,-0.109,4.47,3.72,1.84772,,495.358,290.6731326,38.6910045
4002,Kepler-608,,,TIC 270786157,b,Kepler,1,1,Transit,2016,6.41251504,0.0685,3.64,12.9,1.47,0.0,270.16,1069.0,86.11,0.679,,,5820.0,1.01,1.0,-0.02,0.041,4.43,3.8,0.2483,,946.683,293.882901,44.6380717
4003,Kepler-133,,,TIC 28089143,b,Kepler,1,2,Transit,2014,8.129976,0.083,1.76,3.75,3.78,0.0,408.58,1041.0,86.24,0.36,,,5736.0,1.43,1.02,0.282,0.41,4.19,9.4,0.33482,,653.6,297.2778906,48.3203542
4004,HD 177565,HD 177565,HIP 93858,TIC 254147274,b,La Silla Observatory,1,1,Radial Velocity,2017,44.505,0.246,4.0,15.1,1.3,0.0593,,,,,2.71,G8V,5627.0,0.97,1.0,0.081,-0.054,4.39,6.88,1.46777,,16.9179,286.7175787,-37.8122394
4005,Kepler-310,,,TIC 158840828,d,Kepler,1,3,Transit,2014,92.876125,0.392,2.47,7.0,3.3,0.0,3.66,353.0,88.82,0.79,,,5797.0,0.88,0.91,-0.07,-0.239,4.52,1.9,0.52514,,602.268,288.839278,46.9867472
4006,Kepler-377,,,TIC 184015535,b,Kepler,1,2,Transit,2014,12.509529,0.109,1.39,2.51,5.14,0.0,139.11,875.0,88.36,0.06,,,5949.0,1.22,1.07,0.01,0.218,4.3,0.3,2.28333,,823.804,295.4220717,38.7356737
4007,Kepler-308,,,TIC 184162776,c,Kepler,1,2,Transit,2014,15.38231,0.123,2.16,5.31,2.9,0.0,58.68,714.0,89.97,0.19,,,5895.0,0.94,0.92,-0.04,-0.116,4.51,0.5,2.26029,,1335.92,295.7852423,40.4395753
4008,Kepler-322,,,TIC 123313142,c,Kepler,1,2,Transit,2014,4.337234,0.051,1.67,3.43,4.05,0.0,203.41,996.0,89.77,0.23,,,5388.0,0.89,0.92,0.05,-0.288,4.5,14.0,2.48833,,400.48,281.3487514,44.2952525
4009,Kepler-33,,,TIC 158935283,e,Kepler,1,5,Transit,2011,31.7844,0.2138,4.02,5.57,0.8,0.0,74.72,752.0,88.94,0.47,,,5904.0,1.82,1.29,0.025,0.556,4.03,4.27,0.3,,1209.16,289.0775348,46.0051696
4010,HATS-37 A,,,TIC 6036597,b,HATSouth,2,1,Transit,2020,4.3315366,0.04913,6.793,31.46517,0.55,0.0,229.7,1085.0,89.33,0.14,13.9,,5326.0,0.88,0.84,0.051,-0.256,4.48,11.46,0.86724,,211.896,199.80183,-22.9868431
4011,HATS-38,,,TIC 168281028,b,HATSouth,1,1,Transit,2020,4.375021,0.05036,6.882,23.51942,0.403,0.0,464.7,1294.0,87.21,0.476,9.9,,5732.0,1.1,0.89,-0.102,0.072,4.3,11.89,1.02548,,343.525,154.2710615,-25.2762982
4012,HD 107148,HD 107148,HIP 60081,TIC 66666079,c,Multiple Observatories,2,2,Radial Velocity,2021,18.3267,0.1407,4.7,19.89606,1.05,0.34,,,,,4.84,G5 V,5752.92,1.17,1.11,0.296,0.121,4.35,5.6,0.93155,,49.4156,184.8059773,-3.3199927
4013,HD 137496,HD 137496,,TIC 346250894,c,Multiple Observatories,1,2,Radial Velocity,2021,479.9,1.2163,12.6,2434.5656,6.69,0.477,,370.0,,,221.25,G,5799.0,1.59,1.04,-0.03,0.366,4.05,8.3,0.259,,155.317,231.7420543,-16.5090014
4014,Kepler-247,,,TIC 158792051,c,Kepler,1,3,Transit,2014,9.439452,0.084,4.09,15.7,1.26,0.0,53.9,686.0,89.89,0.14,,,5100.0,0.77,0.84,0.05,-0.422,4.61,0.8,3.76657,,663.711,288.6425609,43.0393769
4015,Kepler-326,,,TIC 270956861,b,Kepler,1,3,Transit,2014,2.248329,0.032,1.52,44.6,69.8,0.0,783.45,1127.0,89.97,0.88,,,5105.0,0.8,0.85,0.239,-0.157,4.56,14.0,2.50206,,487.675,294.3255898,46.0022646
4016,Kepler-229,,,TIC 399912169,c,Kepler,1,3,Transit,2014,16.068638,0.117,4.92,21.5,0.992,0.0,21.64,600.0,89.92,0.0,,,5120.0,0.73,0.8,0.16,-0.538,4.63,1.1,3.66603,,826.265,286.9994758,48.3757867
4017,Kepler-237,,,TIC 258348597,b,Kepler,1,2,Transit,2014,4.715106,0.05,1.41,2.57,5.04,0.0,124.96,823.0,88.96,0.19,,,4861.0,0.72,0.7,0.03,-0.477,4.58,13.8,2.42359,,657.822,283.2213438,40.421762
4018,Kepler-234,,,TIC 137318075,c,Kepler,1,2,Transit,2014,7.21205,0.077,3.51,12.1,1.54,0.0,273.3,1025.0,89.95,0.16,,,6224.0,1.11,1.11,0.09,0.24,4.42,3.47,0.99867,,1733.1,291.6535379,38.4946597
4019,HD 47366,HD 47366,HIP 31674,TIC 443578538,b,Okayama Astrophysical Observatory,1,2,Radial Velocity,2016,359.15,1.28,13.3,731.009,1.71,0.06,,,,,39.01,K1 III,4914.0,6.2,2.19,-0.07,1.389,3.1,0.94,,86.0,84.3552,99.4200181,-12.9856593
4020,HD 5891,HD 5891,HIP 4715,TIC 243146568,b,W. M. Keck Observatory,1,1,Radial Velocity,2011,177.11,0.64,12.6,2425.0429,6.66,0.07,,,,,178.5,G5,4673.0,10.64,1.93,-0.37,1.595,2.67,1.5,,,283.502,15.1383168,20.2923139
4021,HD 50554,HD 50554,HIP 33212,TIC 80224448,b,Lick Observatory,1,1,Radial Velocity,2002,1293.0,2.353,12.9,1574.464,4.03,0.501,,,,,104.0,F8 V,5987.0,1.02,1.04,-0.04,0.143,4.33,2.16,1.08476,,31.1664,103.678273,24.2451409
4022,HD 217786,HD 217786,HIP 113834,TIC 248048656,b,La Silla Observatory,2,1,Radial Velocity,2011,1319.0,2.38,12.3,4131.62,12.2,0.4,,,,,261.0,F8 V,5966.0,1.27,1.02,-0.135,0.276,4.35,7.6,0.77578,,55.4847,345.7838088,-0.4303594
4023,HD 109749,HD 109749,HIP 61595 A,TIC 144289338,b,W. M. Keck Observatory,2,1,Radial Velocity,2005,5.239891,0.0615,11.1,85.8141,0.345,0.0,,,,,29.2,G3 V,5824.0,1.22,1.13,0.24,0.19,4.31,3.3,0.67348,,63.0821,189.3173489,-40.8121458
