,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
1857,Kepler-1590,,,TIC 26416803,b,Kepler,1,1,Transit,2016,7.61760804,0.0772,1.14,1.55,5.75,0.0,171.48,1020.0,89.17,0.234,,,6053.0,1.16,1.11,0.03,0.063,4.35,3.39,1.49506,,771.152,291.4079141,48.0178915
1858,Kepler-355,,,TIC 279915745,b,Kepler,1,2,Transit,2014,11.03189,0.102,1.46,2.73,4.82,0.0,154.8,840.0,88.59,0.38,,,6184.0,1.07,0.99,0.14,0.195,4.44,3.72,0.69388,,1432.17,285.7994917,42.8117427
1859,Kepler-355,,,TIC 279915745,c,Kepler,1,2,Transit,2014,25.762294,0.179,2.71,7.8,2.15,0.0,49.97,633.0,89.32,0.26,,,6184.0,1.07,0.99,0.14,0.195,4.44,3.72,0.60038,,1432.17,285.7994917,42.8117427
1860,Kepler-350,,,TIC 120498491,b,Kepler,1,3,Transit,2014,11.189562,0.104,1.85,4.08,3.54,0.0,257.72,1037.0,87.76,0.38,,,6186.0,1.53,1.19,0.041,0.428,4.15,4.0,0.39737,,956.859,285.4195845,39.7061009
1861,Kepler-341,,,TIC 159179987,d,Kepler,1,4,Transit,2014,27.666313,0.182,1.85,4.08,3.54,0.0,45.42,622.0,88.98,0.27,,,6012.0,1.02,1.0,0.14,0.127,4.44,3.6,0.61984,,1047.03,289.8615609,43.4727412
1862,Kepler-345,,,TIC 271546191,c,Kepler,1,2,Transit,2014,9.387427,0.077,1.2,2.2,4.8,0.0,25.83,575.0,86.89,0.2,,,4504.0,0.62,0.61,0.191,-0.495,4.68,2.75,25.50198,,260.0,295.2288521,45.9710432
1863,Kepler-1492,,,TIC 121660826,b,Kepler,1,1,Transit,2016,16.75255007,0.1262,1.49,2.83,4.7,0.0,11.52,801.0,88.39,0.7096,,,4712.0,0.72,0.77,0.06,-0.754,4.62,2.82,1.71211,,331.553,288.5970695,41.0363254
1864,Kepler-37,,,TIC 164652245,d,Kepler,1,4,Transit,2013,39.7922,0.2076,1.94,12.2,,0.15,9.9,458.0,89.335,0.53,,,5417.0,0.77,0.8,-0.32,-0.322,4.57,5.66,2.46,,63.9207,284.0592503,44.5183733
1865,Kepler-427,,,TIC 158668572,b,Kepler,1,1,Transit,2014,10.290994,0.091,13.79,92.17,0.16,0.57,208.72,1100.0,89.5,0.09,29.8,G2 V,5800.0,1.35,0.96,-0.19,0.29,4.14,7.0,0.4,,1017.8,288.2545808,43.7048379
1866,Kepler-373,,,TIC 299218776,b,Kepler,1,2,Transit,2014,5.535309,0.06,1.36,2.42,5.29,0.0,453.87,1054.0,89.81,0.16,,,5787.0,0.84,0.93,0.07,0.212,4.56,0.5,2.23423,,1090.45,289.3879904,50.5970115
1867,Kepler-373,,,TIC 299218776,c,Kepler,1,2,Transit,2014,16.725948,0.126,1.24,2.07,5.97,0.0,103.76,729.0,89.32,0.48,,,5787.0,0.84,0.93,0.07,0.212,4.56,0.5,4.89667,,1090.45,289.3879904,50.5970115
1868,Kepler-1508,,,TIC 170346081,b,Kepler,1,1,Transit,2016,20.7056504,0.1629,1.33,2.33,5.44,0.0,116.14,967.0,82.32,0.1354,,,6158.0,1.22,1.14,0.01,0.537,4.32,2.69,0.23816,,1260.28,298.1188802,40.3750316
1869,Kepler-371,,,TIC 137550286,b,Kepler,1,2,Transit,2014,34.763278,0.2,1.89,4.23,3.44,0.0,41.74,554.0,89.04,0.62,,,5666.0,0.99,0.93,-0.197,0.244,4.39,0.3,2.92338,,813.192,292.3264835,38.6575441
1870,Kepler-383,,,TIC 137150599,b,Kepler,1,2,Transit,2014,12.904532,0.095,1.32,2.3,5.5,0.0,20.91,545.0,88.77,0.33,,,4710.0,0.67,0.67,-0.178,-0.698,4.62,13.9,3.24938,,470.0,291.3426078,38.3631616
1871,Kepler-383,,,TIC 137150599,c,Kepler,1,2,Transit,2014,31.200751,0.172,1.24,2.07,5.97,0.0,6.44,406.0,89.04,0.36,,,4710.0,0.67,0.67,-0.178,-0.698,4.62,13.9,1.48794,,470.0,291.3426078,38.3631616
1872,Kepler-365,,,TIC 27530849,b,Kepler,1,2,Transit,2014,10.664903,0.098,2.04,4.82,3.12,0.0,132.15,865.0,89.29,0.87,,,6012.0,1.05,1.02,-0.218,0.112,4.43,4.0,2.59019,,1038.99,295.626564,49.130411
1873,Kepler-404,,,TIC 158268972,b,Kepler,1,2,Transit,2014,11.829851,0.102,1.27,2.15,5.77,0.0,44.53,730.0,89.38,0.56,,,5654.0,0.88,0.93,-0.04,-0.337,4.54,0.4,2.50636,,812.524,286.3985796,45.3435241
1874,Kepler-387,,,TIC 158559417,b,Kepler,1,2,Transit,2014,6.791636,0.068,1.03,1.08,5.43,0.0,304.08,994.0,89.55,0.03,,,5774.0,1.05,0.82,-0.4,0.137,4.35,1.01,1.49924,,801.052,287.7982699,45.6567655
1875,Kepler-387,,,TIC 158559417,c,Kepler,1,2,Transit,2014,11.837549,0.098,0.89,0.64,4.99,0.0,144.96,826.0,88.58,0.13,,,5774.0,1.05,0.82,-0.4,0.137,4.35,1.01,2.13085,,801.052,287.7982699,45.6567655
1876,Kepler-388,,,TIC 164786156,b,Kepler,1,2,Transit,2014,3.173315,0.036,0.81,0.457,4.73,0.0,112.21,830.0,89.62,0.2,,,4498.0,0.59,0.64,0.0,-0.439,4.69,13.9,3.16904,,425.0,284.8280577,44.6086451
1877,Kepler-388,,,TIC 164786156,c,Kepler,1,2,Transit,2014,13.297004,0.093,0.86,0.566,4.89,0.0,16.64,515.0,89.95,0.18,,,4498.0,0.59,0.64,0.0,-0.439,4.69,13.9,3.29427,,425.0,284.8280577,44.6086451
1878,Kepler-354,,,TIC 120578185,d,Kepler,1,3,Transit,2014,24.209842,0.146,1.24,2.07,5.97,0.0,8.95,451.0,89.38,0.16,,,4648.0,0.67,0.65,-0.03,-0.714,4.63,13.8,1.91598,,554.064,285.7515347,41.3356739
1879,Kepler-431,,,TIC 123231081,c,Kepler,1,3,Transit,2015,8.703,0.0847,0.668,0.229,4.22,0.0,415.55,951.0,82.35,0.0865,,,6004.0,1.09,1.07,0.07,0.498,4.4,4.34,0.35793,,486.546,281.1123072,43.2277663
1880,Kepler-1868,,,TIC 275571117,b,Kepler,1,1,Transit,2021,211.0339966,0.6266,3.15,10.1,1.78,0.0,0.5,215.0,89.69,0.8954,,,4658.0,0.69,0.74,0.0,-0.662,4.63,14.0,1.44584,,274.18,293.2983733,43.5558025
1881,Kepler-44,,,TIC 239277658,b,Kepler,1,1,Transit,2011,3.2467293,0.0446,12.22,317.82,0.93,0.066,1109.22,1544.0,84.96,0.62,125.0,G2 IV,5800.0,1.35,1.12,0.15,0.347,4.22,5.8,0.63,,1188.0,300.1023512,45.7621918
1882,Kepler-421,,,TIC 164522394,b,Kepler,1,1,Transit,2014,704.1984,1.219,4.16,16.1,1.23,0.041,0.23,185.0,89.965,0.21,,G9/K0,5308.0,0.76,0.79,-0.25,-0.398,4.61,4.0,1.58,,348.558,283.2568116,45.0876823
1883,Kepler-369,,,TIC 26961231,c,Kepler,1,2,Transit,2014,14.871572,0.094,1.41,2.57,5.04,0.0,4.21,391.0,89.98,0.01,,,3591.0,0.47,0.5,-0.09,-1.42,4.79,4.17,4.32691,,214.0,293.6743322,47.9084727
1884,Kepler-37,,,TIC 164652245,c,Kepler,1,4,Transit,2013,21.302,0.1368,0.75,12.0,,0.09,22.79,564.0,89.07,0.43,,,5417.0,0.77,0.8,-0.32,-0.322,4.57,5.66,2.46,,63.9207,284.0592503,44.5183733
1885,Kepler-445,,,TIC 268060194,c,Kepler,1,3,Transit,2015,4.871229,0.0301,2.51,6.85,2.38,0.0,9.18,341.0,89.91,0.0,9.5,M4,3157.0,0.21,0.18,0.27,-2.1,4.93,6.61,14.39263,,127.201,298.7363395,46.4991236
1886,Kepler-358,,,TIC 26815908,c,Kepler,1,2,Transit,2014,83.488369,0.381,2.85,8.5,2.02,0.0,6.6,411.0,89.75,0.25,,,5908.0,0.95,0.94,0.035,-0.138,4.5,0.4,2.43432,,1101.1,293.2302333,48.2813901
1887,Kepler-47,,,TIC 271548206,c,Kepler,2,3,Transit,2012,303.227,0.9638,4.65,3.17,0.17,0.044,,,90.192,,,,5636.0,0.94,0.96,-0.25,-0.076,4.49,,1.65,,1025.02,295.2978883,46.9204303
1888,Kepler-717,,,TIC 240183442,b,Kepler,1,1,Transit,2016,4.40840023,0.052,2.42,6.44,2.5,0.0,398.0,1139.0,74.9,0.04,,,5485.0,0.85,0.88,-0.12,0.604,4.53,4.37,0.03994,,2805.48,292.9655071,43.346345
1889,Kepler-721,,,TIC 164726831,b,Kepler,1,1,Transit,2016,5.39202539,0.0583,2.64,7.46,2.23,0.0,138.75,850.0,88.67,0.79,,,5075.0,0.78,0.82,-0.01,-0.362,4.58,4.9,1.70108,,926.598,284.4305132,44.4803776
1890,Kepler-449,,,TIC 270779644,c,Kepler,1,2,Transit,2015,33.6727,0.1979,2.764,8.07,2.1,0.05,45.09,661.0,89.41,0.806,,,5649.18,1.47,1.02,-0.165,0.296,4.09,9.77,0.53975,,241.949,293.732787,41.9006366
1891,Kepler-450,,,TIC 27534138,c,Kepler,1,3,Transit,2015,15.413135,0.1324,2.62,12.5,3.82,0.02,213.73,944.0,88.73,0.315,,,6197.21,1.64,1.19,0.128,0.554,4.08,3.02,0.37922,,455.982,295.4865821,51.0135237
1892,Kepler-714,,,TIC 123499118,b,Kepler,1,1,Transit,2016,8.09888799,0.0832,9.67,67.6,0.411,0.0,484.01,986.0,89.93,0.054,,,5995.0,1.12,1.09,0.04,0.46,4.37,3.55,1.14941,,2083.37,282.6994685,43.2727437
1893,Kepler-69,,,TIC 275573429,b,Kepler,1,2,Transit,2013,13.722341,0.094,2.24,5.65,2.76,0.16,123.52,779.0,89.62,0.15,,G4 V,5638.0,0.93,0.81,-0.29,-0.097,4.4,9.8,1.37,,730.625,293.2609013,44.8688656
1894,Kepler-813,,,TIC 377782430,b,Kepler,1,1,Transit,2016,19.12947337,0.1439,2.14,5.22,2.93,0.0,56.04,817.0,87.58,0.5396,,,5743.0,0.93,0.95,-0.13,-0.071,4.48,3.98,1.98618,,840.0,285.6626752,48.4353251
1895,Kepler-702,,,TIC 138430864,b,Kepler,1,1,Transit,2016,10.52629406,0.088,9.17,61.8,0.44,0.0,88.91,713.0,88.69,0.644,,,5419.0,0.86,0.9,0.0,-0.159,4.53,4.47,3.85261,,992.071,293.8781041,41.6617245
1896,Kepler-711,,,TIC 273234664,b,Kepler,1,1,Transit,2016,23.58914398,0.1429,3.41,11.5,1.59,0.0,15.57,487.0,86.86,0.908,,,5222.0,0.8,0.84,-0.04,-0.499,4.56,4.37,0.16337,,624.575,297.4600468,42.8398172
1897,Kepler-673,,,TIC 417657148,b,Kepler,1,1,Transit,2016,3.72873109,0.0455,6.54,34.8,0.684,0.0,253.46,1023.0,86.7,0.558,,,5355.0,0.84,0.88,0.0,-0.344,4.54,4.47,1.41129,,918.21,290.7857595,50.0540561
1898,Kepler-674,,,TIC 48528770,b,Kepler,1,1,Transit,2016,2.24338185,0.028,1.69,3.5,3.98,0.0,146.51,822.0,82.88,0.1408,,,4192.0,0.57,0.6,-0.27,-0.907,4.69,3.31,18.76826,,342.254,285.1761864,50.1496897
1899,Kepler-694,,,TIC 122713147,b,Kepler,1,1,Transit,2016,6.36584161,0.0659,2.8,8.25,2.07,0.0,206.44,914.0,87.92,0.524,,,5700.0,0.95,0.97,0.0,-0.078,4.47,4.07,1.41102,,1023.06,291.1495269,40.4204569
1900,Kepler-675,,,TIC 27006665,b,Kepler,1,1,Transit,2016,2.33743801,0.0325,2.44,6.53,2.47,0.0,308.55,1070.0,88.19,0.4935,,,4945.0,0.75,0.79,-0.05,-0.507,4.6,4.68,1.80464,,665.68,293.8334488,50.2303479
1901,Kepler-715,,,TIC 164552984,b,Kepler,1,1,Transit,2016,10.00652995,0.0933,3.75,13.5,1.41,0.0,181.41,876.0,83.94,0.769,,,5871.0,1.04,1.04,0.02,0.165,4.42,3.98,0.1029,,1327.44,283.6307971,43.3793638
1902,Kepler-693,,,TIC 237159318,b,Kepler,2,1,Transit,2016,15.37563332,0.1121,10.18,73.8,0.384,0.0,31.64,600.0,88.73,0.692,,,4881.0,0.72,0.76,-0.1,-0.427,4.61,4.47,2.43887,,1151.51,283.253527,40.3582155
1903,Kepler-530,,,TIC 48305629,b,Kepler,2,1,Transit,2016,39.30941904,0.2212,3.01,9.32,1.88,0.0,14.24,488.0,89.97,0.028,,,5697.0,0.89,0.97,-0.08,-0.132,4.53,1.78,1.8866,,457.709,283.3402948,48.549062
1904,Kepler-54,,,TIC 271262203,b,Kepler,1,3,Transit,2012,8.0109434,0.0619,2.1,21.5,12.8,0.0,12.36,453.0,89.59,0.9461,,M1 V,3705.0,0.5,0.51,-0.27,-1.301,4.75,13.8,0.18002,,271.701,294.7739245,43.0561976
1905,Kepler-540,,,TIC 159452015,b,Kepler,1,1,Transit,2016,172.7049784,0.5886,2.71,7.8,2.15,0.0,4.53,355.0,90.0,0.06,,,5946.0,1.08,1.02,-0.1,0.207,4.38,4.9,1.06872,,390.374,290.6249953,44.8737757
1906,Kepler-55,,,TIC 164884002,c,Kepler,1,5,Transit,2012,42.1516418,0.2095,2.21,69.8,35.5,0.0,3.84,349.0,89.96,0.16,,,4362.0,0.58,0.62,-0.01,-0.763,4.7,2.34,0.02459,,578.796,285.1683291,44.0264898
1907,Kepler-523,,,TIC 164654277,b,Kepler,1,1,Transit,2016,5.83598311,0.0606,1.96,4.5,3.28,0.0,149.13,884.0,89.66,0.129,,,5515.0,0.86,0.93,-0.03,-0.28,4.54,2.45,2.36312,,253.295,284.0611224,45.5068127
1908,Kepler-525,,,TIC 272279290,b,Kepler,1,1,Transit,2016,18.68404933,0.1396,2.63,7.41,2.24,0.0,176.23,832.0,85.7,0.878,,,5573.0,1.15,0.95,0.11,0.525,4.29,10.47,0.1601,,992.852,296.1834239,47.3587776
1909,Kepler-788,,,TIC 122224871,b,Kepler,1,1,Transit,2016,8.39846269,0.0835,2.55,7.04,2.33,0.0,357.19,984.0,86.16,0.804,,,6159.0,1.23,1.16,0.05,0.336,4.32,3.02,0.10251,,1775.8,290.0004154,38.5398551
1910,Kepler-743,,,TIC 271760755,b,Kepler,2,1,Transit,2016,3.17926292,0.0418,1.21,1.92,5.96,0.0,397.25,1101.0,89.59,0.2924,,,5486.0,0.85,0.94,0.01,-0.176,4.55,1.86,1.6861,,278.987,295.57423,42.8064255
1911,Kepler-844,,,TIC 298836607,b,Kepler,1,1,Transit,2016,2.61302086,0.0298,1.68,3.46,4.01,0.0,89.65,713.0,80.29,0.8551,,,4128.0,0.57,0.59,-0.24,-0.921,4.7,3.8,0.5851,,431.776,287.8578541,48.7739646
1912,Kepler-845,,,TIC 417676802,b,Kepler,1,1,Transit,2016,0.92785982,0.017,2.04,4.82,3.12,0.0,772.5,1361.0,76.15,0.29,,,4913.0,0.75,0.79,0.01,-0.605,4.59,4.79,0.55664,,431.051,290.9576363,49.2037262
1913,Kepler-848,,,TIC 26817863,b,Kepler,1,1,Transit,2016,6.91134416,0.072,1.7,3.53,3.95,0.0,794.78,1086.0,88.37,0.26,,,5695.0,1.2,1.01,0.15,0.594,4.28,8.32,0.30165,,1378.47,293.2882949,48.8116114
1914,Kepler-827,,,TIC 271346509,b,Kepler,1,1,Transit,2016,51.92927591,0.2742,5.63,27.0,0.831,0.0,23.6,574.0,89.69,0.1656,,,5602.0,0.91,0.93,-0.06,0.232,4.5,4.37,3.32701,,2046.68,294.9660027,42.7085608
1915,Kepler-828,,,TIC 158386765,b,Kepler,1,1,Transit,2016,0.56785714,0.0125,1.51,2.89,4.61,0.0,1835.16,1848.0,85.49,0.4563,,,5039.0,0.77,0.81,-0.02,-0.543,4.58,4.57,3.92265,,575.322,286.8872555,42.4712271
1916,Kepler-48,,,TIC 171882123,d,Kepler,1,4,Transit,2014,42.8961,0.2279,2.04,7.93,5.08,0.0,9.29,448.0,89.99,0.2,1.57,,5194.0,0.89,0.88,0.17,-0.289,4.49,3.14,1.98,,306.738,299.1393094,40.948939
1917,Kepler-483,,,TIC 137342400,b,Kepler,1,1,Transit,2016,30.229104,0.2072,3.21,10.4,1.73,0.0,61.49,755.0,88.1,0.708,,,6346.0,1.47,1.28,0.09,0.439,4.21,2.63,0.67513,,860.355,291.6467764,41.8846843
1918,Kepler-516,,,TIC 184085929,b,Kepler,1,1,Transit,2016,24.85462415,0.1992,5.74,27.9,0.811,0.0,174.58,1095.0,87.08,0.6578,,,7099.0,2.02,1.62,0.01,0.798,4.04,1.32,0.18673,,687.094,295.6087625,38.7357368
1919,Kepler-524,,,TIC 27914389,b,Kepler,1,2,Transit,2016,7.97419807,0.0791,1.91,4.31,3.4,0.0,434.24,974.0,89.36,0.7963,,,6014.0,1.1,1.09,0.02,0.439,4.39,3.02,0.45853,,1058.24,296.8591787,49.1620125
1920,Kepler-524,,,TIC 27914389,c,Kepler,1,2,Transit,2016,1.88897906,0.0303,0.96,0.84,5.22,0.0,2959.34,1574.0,89.84,0.834,,,6014.0,1.1,1.09,0.02,0.439,4.39,3.02,0.3953,,1058.24,296.8591787,49.1620125
1921,Kepler-737,,,TIC 63068329,b,Kepler,1,1,Transit,2016,28.59915399,0.1422,1.96,4.5,3.28,0.0,2.3,298.0,89.99,0.894,,,3813.0,0.48,0.51,-0.24,-1.301,4.77,3.89,5.23896,,205.118,291.8629793,46.4291614
1922,Kepler-738,,,TIC 158490928,b,Kepler,1,1,Transit,2016,24.58721573,0.1552,2.5,6.8,2.39,0.0,27.64,530.0,89.02,0.1088,,,5327.0,0.82,0.86,-0.09,-0.213,4.55,4.57,3.83443,,1113.65,287.5696516,46.5679011
1923,Kepler-741,,,TIC 159050690,b,Kepler,1,1,Transit,2016,7.03902374,0.0744,2.97,9.11,1.91,0.0,461.99,1051.0,89.94,0.862,,,6129.0,1.24,1.16,0.07,0.332,4.31,3.16,1.09896,,1661.87,289.4317294,46.6174978
1924,Kepler-764,,,TIC 273129679,b,Kepler,1,1,Transit,2016,7.33683936,0.0724,1.64,3.33,4.15,0.0,160.46,875.0,89.93,0.018,,,5557.0,0.89,0.92,-0.06,-0.136,4.51,4.17,1.4571,,1047.84,297.3931183,47.1645814
1925,Kepler-789,,,TIC 184300256,b,Kepler,1,1,Transit,2016,8.63847725,0.0951,2.12,5.14,2.96,0.0,312.34,1419.0,89.77,0.86,,,5870.0,1.02,1.01,-0.06,0.496,4.42,3.72,0.46008,,1480.16,295.9751549,38.9466396
1926,Kepler-745,,,TIC 137307173,b,Kepler,1,1,Transit,2016,9.93143556,0.0915,2.16,5.31,2.9,0.0,286.03,931.0,89.84,0.792,,,5849.0,1.04,1.04,0.06,0.376,4.42,4.07,0.48669,,1780.38,291.4994412,37.0592571
1927,Kepler-758,,,TIC 137968594,d,Kepler,1,4,Transit,2016,20.4966197,0.1447,2.12,5.14,2.96,0.0,173.17,843.0,80.73,0.42,,,6228.0,1.42,1.16,-0.1,0.563,4.19,3.8,0.69277,,1502.32,293.0846115,41.1354049
1928,Kepler-770,,,TIC 120891972,d,Kepler,1,3,Transit,2016,4.15244722,0.0616,1.4,2.54,5.09,0.0,209.75,1941.0,86.24,0.71,,,5598.0,0.92,0.94,-0.01,0.054,4.49,4.57,2.07455,,930.457,286.4904589,38.374872
1929,Kepler-746,,,TIC 122515955,b,Kepler,1,1,Transit,2016,3.48159251,0.0435,1.11,1.41,5.67,0.0,421.61,1156.0,89.71,0.076,,,5418.0,0.93,0.91,0.09,-0.172,4.46,8.71,5.1037,,450.0,290.6822097,37.3551593
1930,Kepler-796,,,TIC 121214909,b,Kepler,1,1,Transit,2016,6.40087618,0.0662,1.3,2.24,5.6,0.0,962.26,1109.0,85.17,0.0158,,,5475.0,1.09,0.93,0.09,0.572,4.33,11.75,3.55345,,817.584,287.3078999,39.1447097
1931,Kepler-765,,,TIC 164456891,b,Kepler,1,1,Transit,2016,27.6655226,0.1754,2.43,6.48,2.48,0.0,48.95,641.0,89.99,0.51,,,5901.0,1.06,1.05,0.04,0.146,4.41,3.72,0.84868,,1076.28,283.1846044,47.1557114
1932,Kepler-542,,,TIC 137484431,b,Kepler,1,1,Transit,2016,13.14497566,0.1038,1.57,3.09,4.39,0.0,61.57,698.0,88.51,0.946,,,5526.0,0.9,0.93,0.02,-0.122,4.5,4.57,1.31404,,436.016,292.2149697,38.5485469
1933,Kepler-549,,,TIC 164455792,b,Kepler,1,2,Transit,2016,42.9495649,0.2283,2.57,11.0,1.9,0.0,9.55,487.0,89.99,0.758,,,5360.0,0.84,0.88,-0.03,-0.306,4.54,4.57,2.57485,,635.145,283.0228527,47.2611431
1934,Kepler-81,,,TIC 270611154,c,Kepler,1,3,Transit,2012,12.04,0.08347,2.37,4.3,1.77,0.0,15.62,502.0,89.51,0.85,,M0 V,4385.0,0.59,0.64,-0.18,-0.889,4.7,3.63,4.82896,,348.291,293.6369437,42.8248275
1935,Kepler-810,,,TIC 351188824,b,Kepler,1,1,Transit,2016,4.59725385,0.055,1.93,4.38,3.35,0.0,350.6,1105.0,89.85,0.3034,,,5803.0,1.04,1.03,0.1,-0.032,4.42,4.17,1.65508,,1458.59,296.6148615,48.0825642
1936,Kepler-80,,,TIC 184296619,b,Kepler,1,6,Transit,2012,7.05246,0.0648,2.67,6.93,1.38,0.0,54.38,547.0,89.34,0.71,,K5,4540.0,0.68,0.73,0.04,-0.77,4.64,2.0,2.33,,369.451,296.1125759,39.9787451
1937,Kepler-758,,,TIC 137968594,b,Kepler,1,4,Transit,2016,12.1097104,0.1019,2.48,6.71,2.42,0.0,349.19,1005.0,81.62,0.41,,,6228.0,1.42,1.16,-0.1,0.563,4.19,3.8,0.45714,,1502.32,293.0846115,41.1354049
1938,Kepler-80,,,TIC 184296619,f,Kepler,1,6,Transit,2016,0.9867873,0.0175,1.21,1.92,5.96,0.0,750.96,1054.0,86.5,0.026,,K5,4540.0,0.68,0.73,0.04,-0.77,4.64,2.0,2.33,,369.451,296.1125759,39.9787451
1939,Kepler-553,,,TIC 264508613,c,Kepler,1,2,Transit,2016,328.2399546,0.9084,11.2,,,0.0,0.6,224.0,89.75,0.75,,,5266.0,0.85,0.92,0.21,-0.261,4.55,2.88,0.85283,,728.525,298.5508922,48.3325405
1940,Kepler-766,,,TIC 138036952,b,Kepler,1,1,Transit,2016,6.10027804,0.066,3.39,11.4,1.61,0.0,227.15,990.0,89.92,0.817,,,5992.0,1.15,1.1,0.09,0.451,4.36,3.63,0.52073,,2297.62,293.1845144,37.9698357
1941,Kepler-770,,,TIC 120891972,c,Kepler,1,3,Transit,2016,1.47532231,0.0309,1.2,1.87,5.95,0.0,833.59,2740.0,88.41,0.58,,,5598.0,0.92,0.94,-0.01,0.054,4.49,4.57,0.97772,,930.457,286.4904589,38.374872
1942,Kepler-778,,,TIC 158484518,b,Kepler,1,1,Transit,2016,3.75574426,0.0453,1.68,3.46,4.01,0.0,216.57,977.0,89.43,0.127,,,5102.0,0.77,0.81,-0.09,-0.413,4.58,5.25,2.7269,,938.168,287.4774867,44.2374702
1943,Kepler-784,,,TIC 272078218,b,Kepler,1,1,Transit,2016,31.5922646,0.1967,1.58,3.12,4.35,0.0,194.38,688.0,89.06,0.283,,,5674.0,1.32,1.0,0.07,0.857,4.19,9.12,0.05821,,1303.72,295.9206663,47.4486164
1944,Kepler-801,,,TIC 158171839,b,Kepler,1,1,Transit,2016,11.41928253,0.0795,2.0,4.66,3.2,0.0,14.44,419.0,89.36,0.799,,,4435.0,0.63,0.67,-0.17,-0.798,4.66,3.55,1.5102,,440.426,286.0751815,44.6646277
1945,Kepler-744,,,TIC 272597130,b,Kepler,1,1,Transit,2016,12.06222443,0.0993,1.62,3.26,4.21,0.0,62.95,750.0,89.47,0.392,,,5594.0,0.93,0.94,0.0,-0.222,4.48,5.13,9.7949,,449.964,296.4960493,47.1827848
1946,Kepler-283,,,TIC 270695184,c,Kepler,1,2,Transit,2014,92.743711,0.341,1.82,3.97,3.62,0.0,0.95,240.0,89.99,0.44,,,4351.0,0.57,0.6,-0.17,-0.983,4.72,3.09,0.06394,,468.094,293.6137413,47.838938
1947,Kepler-830,,,TIC 271433874,b,Kepler,1,1,Transit,2016,11.29695137,0.1033,1.7,3.53,3.95,0.0,160.18,907.0,87.54,0.852,,,6037.0,1.11,1.07,-0.02,0.169,4.38,3.47,0.3999,,1122.0,295.054238,42.7568316
1948,Kepler-797,,,TIC 169176157,b,Kepler,1,1,Transit,2016,27.07237711,0.181,2.17,5.35,2.88,0.0,90.1,605.0,89.97,0.015,,,5680.0,0.95,0.96,-0.02,0.47,4.47,3.89,0.72049,,1315.26,297.2089078,41.781645
1949,Kepler-758,,,TIC 137968594,c,Kepler,1,4,Transit,2016,4.75793986,0.0547,1.69,3.5,3.98,0.0,1211.82,1372.0,84.31,0.6614,,,6228.0,1.42,1.16,-0.1,0.563,4.19,3.8,0.1803,,1502.32,293.0846115,41.1354049
1950,Kepler-798,,,TIC 63214717,b,Kepler,1,1,Transit,2016,13.71933369,0.1174,2.39,6.3,2.54,0.0,141.89,864.0,89.93,0.694,,,6224.0,1.29,1.19,0.03,0.222,4.29,2.82,0.70442,,972.274,292.4782785,42.1422821
1951,Kepler-1901,,,TIC 159647219,b,Kepler,1,1,Transit,2021,3.48412991,0.0453,1.474,2.77,4.75,0.0,389.41,1132.0,89.68,0.03,,,5696.0,0.92,1.02,0.14,-0.003,4.52,0.7,10.4217,,1028.37,291.1643587,45.3183061
1952,Kepler-1667,,,TIC 48353636,b,Kepler,1,1,Transit,2020,83.5781,0.4256,2.984,9.19,1.9,0.0,17.31,655.0,89.59,0.912,,,5941.54,1.09,1.09,-0.26,0.123,4.4,4.7,1.19479,,626.819,283.5329505,48.0943604
1953,Kepler-1311,,,TIC 159106207,d,Kepler,1,3,Transit,2021,197.5110016,0.6711,9.658,67.5,0.412,0.0,5.54,391.0,89.49,0.8342,,,5616.0,1.67,1.03,0.04,0.472,4.0,7.2,0.36069,,866.331,289.6512597,43.8244445
1954,Kepler-593,,,TIC 27391836,b,Kepler,1,1,Transit,2016,21.21708973,0.1508,2.87,8.6,2.0,0.0,61.02,706.0,86.39,0.841,,,5967.0,1.1,1.08,0.04,0.079,4.39,3.63,1.07729,,973.76,294.9513923,48.6511709
1955,Kepler-831,,,TIC 271346561,b,Kepler,1,1,Transit,2016,5.62153941,0.0603,1.27,2.15,5.77,0.0,266.25,992.0,86.54,0.0812,,,5732.0,0.97,0.99,0.02,0.012,4.46,4.17,3.6896,,593.54,294.9855607,42.7277355
1956,Kepler-58,,,TIC 184471242,d,Kepler,1,3,Transit,2014,40.101371,0.236,2.94,8.96,1.94,0.0,18.24,583.0,88.44,0.9,,,6099.0,1.13,1.04,0.09,-0.004,4.37,2.14,0.14334,,969.252,296.3586251,39.1152033
1957,Kepler-581,,,TIC 184009313,b,Kepler,1,1,Transit,2016,40.6069821,0.2259,2.63,7.41,2.24,0.0,12.39,521.0,89.41,0.0279,,,5772.0,1.0,1.0,0.03,-0.169,4.44,4.07,1.96293,,703.758,295.4326552,40.6481874
1958,Kepler-585,,,TIC 158276273,b,Kepler,1,1,Transit,2016,2.75235975,0.0375,2.83,8.4,2.04,0.0,489.15,1178.0,87.36,0.78,,,5593.0,0.93,0.96,0.03,-0.163,4.49,3.63,2.10797,,585.187,286.5284924,43.8733751
