id,starname,HD,HIP,TIC,letter,facility,n_stars,n_planets,discovery_method,year,period,a,planet_radius,planet_mass,density,e,insolation_flux,teff,i,b,K,spectral_type,star_temperature,star_radius,star_mass,star_met,star_luminosity,star_logg,star_age,star_density,star_prot,distance,RA,Dec
2733,Kepler-1398,,,TIC 27239111,c,Kepler,1,2,Transit,2016,4.13827595,0.051,1.03,1.08,5.43,0.0,738.18,1324.0,86.45,0.7654,,,6126.0,1.18,1.13,0.01,0.312,4.34,3.09,0.57705,,852.204,294.8661073,48.6389923
2738,Kepler-105,,,TIC 158625964,b,Kepler,1,2,Transit,2013,5.4122,0.066,4.81,5.1,0.252,0.47,341.81,1418.0,85.94,0.64,,,6397.0,1.58,1.28,-0.22,0.607,4.15,3.17,0.46,,459.223,287.8872376,46.2761224
2742,Kepler-1245,,,TIC 159449041,b,Kepler,1,2,Transit,2016,4.35409304,0.0484,1.44,2.67,4.91,0.0,194.34,1043.0,85.65,0.1149,,,5306.0,0.83,0.86,-0.01,-0.411,4.55,4.57,3.05943,,805.936,290.7443078,43.260753
2762,Kepler-112,,,TIC 272943597,b,Kepler,1,2,Transit,2014,8.408878,0.076,2.36,6.17,2.58,0.0,123.82,809.0,89.95,0.04,,,5544.0,0.84,0.78,-0.522,-0.086,4.51,9.4,1.7551,,513.206,296.9811361,43.2097025
2775,Kepler-1350,,,TIC 158664221,b,Kepler,1,2,Transit,2016,4.4968604,0.0413,2.52,6.9,2.37,0.0,27.18,535.0,89.95,0.323,,,3827.0,0.53,0.55,-0.06,-1.283,4.74,4.57,4.9823,,340.691,288.250611,46.6794847
2789,Kepler-135,,,TIC 122450088,b,Kepler,1,2,Transit,2014,6.00253,0.067,1.81,3.93,3.64,0.0,496.68,1209.0,79.39,0.0,,,6090.0,1.27,1.25,-0.105,0.448,4.27,2.62,0.41241,,621.855,290.4950939,38.7954956
2790,Kepler-1350,,,TIC 158664221,c,Kepler,1,2,Transit,2016,1.76678906,0.0222,1.73,3.64,3.86,0.0,94.05,730.0,89.64,0.1039,,,3827.0,0.53,0.55,-0.06,-1.283,4.74,4.57,4.9823,,340.691,288.250611,46.6794847
2793,Kepler-1370,,,TIC 120253552,c,Kepler,1,2,Transit,2016,7.44142113,0.0767,1.27,2.15,5.77,0.0,503.72,1075.0,82.53,0.0517,,,6202.0,1.29,1.19,0.05,0.458,4.29,2.88,0.60786,,1004.1,284.5656897,41.7784781
2796,Kepler-119,,,TIC 271964647,b,Kepler,1,2,Transit,2014,2.422082,0.035,3.6,12.6,1.48,0.0,745.28,1213.0,89.56,0.3,,,5595.0,0.84,0.92,0.01,-0.037,4.57,3.63,1.35492,,701.996,295.9463854,42.6588324
2803,Kepler-141,,,TIC 273681580,b,Kepler,1,2,Transit,2014,3.107675,0.039,0.69,0.257,4.3,0.0,228.66,968.0,84.53,0.54,,,4910.0,0.79,1.0,0.264,-0.446,4.57,12.39,1.81992,,301.183,297.9707271,47.7316041
